,順位,アウェイ,年度,節数
2098,9,琉球,2019,第12
2099,10,徳島,2019,第12
2100,11,岡山,2019,第12
2101,12,長崎,2019,第12
2102,13,東京Ｖ,2019,第12
2103,14,横浜FC,2019,第12
2104,15,千葉,2019,第12
2105,16,町田,2019,第12
2106,17,愛媛,2019,第12
2107,18,福岡,2019,第12
2108,19,岐阜,2019,第12
2109,20,山口,2019,第12
2110,21,鹿児島,2019,第12
2111,22,栃木,2019,第12
2112,1,山形,2019,第13
2113,2,水戸,2019,第13
2114,3,大宮,2019,第13
2115,4,金沢,2019,第13
2116,5,京都,2019,第13
2117,6,柏,2019,第13
2118,7,甲府,2019,第13
2119,8,琉球,2019,第13
2120,9,長崎,2019,第13
2121,10,新潟,2019,第13
2122,11,東京Ｖ,2019,第13
2123,12,岡山,2019,第13
2124,12,徳島,2019,第13
2125,14,横浜FC,2019,第13
2126,15,町田,2019,第13
2127,16,鹿児島,2019,第13
2128,17,千葉,2019,第13
2129,18,栃木,2019,第13
2130,19,山口,2019,第13
2131,20,福岡,2019,第13
2132,21,愛媛,2019,第13
2133,22,岐阜,2019,第13
2134,1,山形,2019,第14
2135,2,水戸,2019,第14
2136,3,大宮,2019,第14
2137,4,甲府,2019,第14
2138,5,京都,2019,第14
2139,6,柏,2019,第14
2140,7,金沢,2019,第14
2141,8,長崎,2019,第14
2142,9,琉球,2019,第14
2143,10,東京Ｖ,2019,第14
2144,11,岡山,2019,第14
2145,12,横浜FC,2019,第14
2146,13,新潟,2019,第14
2147,14,徳島,2019,第14
2148,15,千葉,2019,第14
2149,16,町田,2019,第14
2150,17,愛媛,2019,第14
2151,18,鹿児島,2019,第14
2152,19,栃木,2019,第14
2153,20,山口,2019,第14
2154,21,福岡,2019,第14
2155,22,岐阜,2019,第14
2156,1,水戸,2019,第15
2157,2,山形,2019,第15
2158,3,大宮,2019,第15
2159,4,甲府,2019,第15
2160,5,京都,2019,第15
2161,6,柏,2019,第15
2162,7,長崎,2019,第15
2163,8,金沢,2019,第15
2164,9,琉球,2019,第15
2165,10,東京Ｖ,2019,第15
2166,11,岡山,2019,第15
2167,12,町田,2019,第15
2168,13,横浜FC,2019,第15
2169,14,千葉,2019,第15
2170,15,新潟,2019,第15
2171,16,徳島,2019,第15
2172,17,愛媛,2019,第15
2173,18,栃木,2019,第15
2174,19,福岡,2019,第15
2175,20,鹿児島,2019,第15
2176,21,山口,2019,第15
2177,22,岐阜,2019,第15
2178,1,山形,2019,第16
2179,2,水戸,2019,第16
2180,3,甲府,2019,第16
2181,4,京都,2019,第16
2182,5,大宮,2019,第16
2183,6,長崎,2019,第16
2184,7,柏,2019,第16
2185,8,金沢,2019,第16
2186,9,琉球,2019,第16
2187,10,岡山,2019,第16
2188,11,東京Ｖ,2019,第16
2189,12,横浜FC,2019,第16
2190,13,町田,2019,第16
2191,14,徳島,2019,第16
2192,15,千葉,2019,第16
2193,16,新潟,2019,第16
2194,17,栃木,2019,第16
2195,18,福岡,2019,第16
2196,19,愛媛,2019,第16
2197,20,山口,2019,第16
2198,21,鹿児島,2019,第16
2199,22,岐阜,2019,第16
2200,1,水戸,2019,第17
2201,2,山形,2019,第17
2202,3,大宮,2019,第17
2203,4,甲府,2019,第17
2204,5,京都,2019,第17
2205,6,長崎,2019,第17
2206,7,柏,2019,第17
2207,8,岡山,2019,第17
2208,9,金沢,2019,第17
2209,10,琉球,2019,第17
2210,11,横浜FC,2019,第17
2211,12,徳島,2019,第17
2212,13,東京Ｖ,2019,第17
2213,14,新潟,2019,第17
2214,15,町田,2019,第17
2215,16,千葉,2019,第17
2216,17,愛媛,2019,第17
2217,18,鹿児島,2019,第17
2218,19,栃木,2019,第17
2219,20,山口,2019,第17
2220,21,福岡,2019,第17
2221,22,岐阜,2019,第17
2222,1,山形,2019,第18
2223,2,大宮,2019,第18
2224,3,水戸,2019,第18
2225,4,甲府,2019,第18
2226,5,京都,2019,第18
2227,6,長崎,2019,第18
2228,7,柏,2019,第18
2229,8,岡山,2019,第18
2230,9,金沢,2019,第18
2231,10,琉球,2019,第18
2232,11,徳島,2019,第18
2233,12,東京Ｖ,2019,第18
2234,13,新潟,2019,第18
2235,14,横浜FC,2019,第18
2236,15,千葉,2019,第18
2237,16,町田,2019,第18
2238,17,愛媛,2019,第18
2239,18,鹿児島,2019,第18
2240,19,山口,2019,第18
2241,20,栃木,2019,第18
2242,21,福岡,2019,第18
2243,22,岐阜,2019,第18
2244,1,山形,2019,第19
2245,2,大宮,2019,第19
2246,3,水戸,2019,第19
2247,4,甲府,2019,第19
2248,5,京都,2019,第19
2249,6,柏,2019,第19
2250,7,金沢,2019,第19
2251,8,長崎,2019,第19
2252,9,岡山,2019,第19
2253,10,徳島,2019,第19
2254,11,琉球,2019,第19
2255,12,東京Ｖ,2019,第19
2256,13,新潟,2019,第19
2257,14,横浜FC,2019,第19
2258,15,千葉,2019,第19
2259,16,町田,2019,第19
2260,17,山口,2019,第19
2261,18,鹿児島,2019,第19
2262,19,愛媛,2019,第19
2263,20,栃木,2019,第19
2264,21,福岡,2019,第19
2265,22,岐阜,2019,第19
2266,1,山形,2019,第20
2267,2,大宮,2019,第20
2268,3,水戸,2019,第20
2269,4,京都,2019,第20
2270,5,柏,2019,第20
2271,6,甲府,2019,第20
2272,7,長崎,2019,第20
2273,8,金沢,2019,第20
2274,9,徳島,2019,第20
2275,10,東京Ｖ,2019,第20
2276,11,岡山,2019,第20
2277,12,新潟,2019,第20
2278,13,横浜FC,2019,第20
2279,14,琉球,2019,第20
2280,15,町田,2019,第20
2281,16,山口,2019,第20
2282,17,愛媛,2019,第20
2283,18,千葉,2019,第20
2284,19,鹿児島,2019,第20
2285,20,栃木,2019,第20
2286,21,福岡,2019,第20
2287,22,岐阜,2019,第20
2288,1,山形,2019,第21
2289,2,京都,2019,第21
2290,3,柏,2019,第21
2291,4,水戸,2019,第21
2292,5,大宮,2019,第21
2293,6,甲府,2019,第21
2294,7,金沢,2019,第21
2295,8,長崎,2019,第21
2296,9,徳島,2019,第21
2297,10,岡山,2019,第21
2298,11,新潟,2019,第21
2299,12,横浜FC,2019,第21
2300,13,琉球,2019,第21
2301,14,東京Ｖ,2019,第21
2302,15,山口,2019,第21
2303,16,町田,2019,第21
2304,17,愛媛,2019,第21
2305,18,千葉,2019,第21
2306,19,鹿児島,2019,第21
2307,20,栃木,2019,第21
2308,21,福岡,2019,第21
2309,22,岐阜,2019,第21
2310,1,京都,2019,第22
2311,2,山形,2019,第22
2312,3,柏,2019,第22
2313,4,大宮,2019,第22
2314,5,水戸,2019,第22
2315,6,甲府,2019,第22
2316,7,岡山,2019,第22
2317,8,金沢,2019,第22
2318,9,横浜FC,2019,第22
2319,10,長崎,2019,第22
2320,11,徳島,2019,第22
2321,12,新潟,2019,第22
2322,13,東京Ｖ,2019,第22
2323,14,琉球,2019,第22
2324,15,山口,2019,第22
2325,16,町田,2019,第22
2326,17,千葉,2019,第22
2327,18,愛媛,2019,第22
2328,19,福岡,2019,第22
2329,20,鹿児島,2019,第22
2330,21,栃木,2019,第22
2331,22,岐阜,2019,第22
2332,1,京都,2019,第23
2333,2,柏,2019,第23
2334,3,水戸,2019,第23
2335,4,山形,2019,第23
2336,5,大宮,2019,第23
2337,6,岡山,2019,第23
2338,7,甲府,2019,第23
2339,8,横浜FC,2019,第23
2340,9,長崎,2019,第23
2341,10,徳島,2019,第23
2342,11,金沢,2019,第23
2343,12,東京Ｖ,2019,第23
2344,13,新潟,2019,第23
2345,14,琉球,2019,第23
2346,15,山口,2019,第23
2347,16,千葉,2019,第23
2348,17,町田,2019,第23
2349,18,愛媛,2019,第23
2350,19,鹿児島,2019,第23
2351,20,栃木,2019,第23
2352,21,福岡,2019,第23
2353,22,岐阜,2019,第23
2354,1,京都,2019,第24
2355,2,柏,2019,第24
2356,3,水戸,2019,第24
2357,4,山形,2019,第24
2358,5,大宮,2019,第24
2359,6,岡山,2019,第24
2360,7,横浜FC,2019,第24
2361,8,長崎,2019,第24
2362,9,甲府,2019,第24
2363,10,金沢,2019,第24
2364,11,東京Ｖ,2019,第24
2365,12,徳島,2019,第24
2366,13,新潟,2019,第24
2367,14,琉球,2019,第24
2368,15,山口,2019,第24
2369,16,千葉,2019,第24
2370,17,町田,2019,第24
2371,18,愛媛,2019,第24
2372,19,福岡,2019,第24
2373,20,鹿児島,2019,第24
2374,21,栃木,2019,第24
2375,22,岐阜,2019,第24
2376,1,柏,2019,第25
2377,2,京都,2019,第25
2378,3,水戸,2019,第25
2379,4,大宮,2019,第25
2380,5,山形,2019,第25
2381,6,横浜FC,2019,第25
2382,7,岡山,2019,第25
2383,8,甲府,2019,第25
2384,9,徳島,2019,第25
2385,10,長崎,2019,第25
2386,11,金沢,2019,第25
2387,12,東京Ｖ,2019,第25
2388,13,新潟,2019,第25
2389,14,千葉,2019,第25
2390,15,琉球,2019,第25
2391,16,山口,2019,第25
2392,17,愛媛,2019,第25
2393,18,町田,2019,第25
2394,19,福岡,2019,第25
2395,20,栃木,2019,第25
2396,21,鹿児島,2019,第25
2397,22,岐阜,2019,第25
2398,1,柏,2019,第26
2399,2,京都,2019,第26
2400,3,大宮,2019,第26
2401,4,横浜FC,2019,第26
2402,5,水戸,2019,第26
2403,6,山形,2019,第26
2404,7,甲府,2019,第26
2405,8,岡山,2019,第26
2406,9,新潟,2019,第26
2407,10,金沢,2019,第26
2408,11,徳島,2019,第26
2409,12,長崎,2019,第26
2410,13,東京Ｖ,2019,第26
2411,14,山口,2019,第26
2412,15,千葉,2019,第26
2413,16,愛媛,2019,第26
2414,17,琉球,2019,第26
2415,18,町田,2019,第26
2416,19,福岡,2019,第26
2417,20,鹿児島,2019,第26
2418,21,栃木,2019,第26
2419,22,岐阜,2019,第26
2420,1,柏,2019,第27
2421,2,京都,2019,第27
2422,3,大宮,2019,第27
2423,4,山形,2019,第27
2424,5,横浜FC,2019,第27
2425,6,水戸,2019,第27
2426,7,甲府,2019,第27
2427,8,金沢,2019,第27
2428,9,岡山,2019,第27
2429,10,新潟,2019,第27
2430,11,長崎,2019,第27
2431,12,徳島,2019,第27
2432,13,東京Ｖ,2019,第27
2433,14,愛媛,2019,第27
2434,15,琉球,2019,第27
2435,16,山口,2019,第27
2436,17,千葉,2019,第27
2437,18,福岡,2019,第27
2438,19,町田,2019,第27
2439,20,鹿児島,2019,第27
2440,21,栃木,2019,第27
2441,22,岐阜,2019,第27
2442,1,柏,2019,第28
2443,2,大宮,2019,第28
2444,3,京都,2019,第28
2445,4,横浜FC,2019,第28
2446,5,水戸,2019,第28
2447,6,山形,2019,第28
2448,7,甲府,2019,第28
2449,8,金沢,2019,第28
2450,9,岡山,2019,第28
2451,10,徳島,2019,第28
2452,11,東京Ｖ,2019,第28
2453,12,新潟,2019,第28
2454,13,長崎,2019,第28
2455,14,山口,2019,第28
2456,15,愛媛,2019,第28
2457,16,琉球,2019,第28
2458,17,千葉,2019,第28
2459,18,鹿児島,2019,第28
2460,19,福岡,2019,第28
2461,20,町田,2019,第28
2462,21,栃木,2019,第28
2463,22,岐阜,2019,第28
2464,1,柏,2019,第29
2465,2,京都,2019,第29
2466,3,大宮,2019,第29
2467,4,横浜FC,2019,第29
2468,5,山形,2019,第29
2469,6,水戸,2019,第29
2470,7,甲府,2019,第29
2471,8,金沢,2019,第29
2472,9,徳島,2019,第29
2473,10,岡山,2019,第29
2474,11,東京Ｖ,2019,第29
2475,12,長崎,2019,第29
2476,13,新潟,2019,第29
2477,14,愛媛,2019,第29
2478,15,山口,2019,第29
2479,16,琉球,2019,第29
2480,17,千葉,2019,第29
2481,18,町田,2019,第29
2482,19,福岡,2019,第29
2483,20,鹿児島,2019,第29
2484,21,栃木,2019,第29
2485,22,岐阜,2019,第29
2486,1,柏,2019,第30
2487,2,横浜FC,2019,第30
2488,3,京都,2019,第30
2489,4,大宮,2019,第30
2490,5,水戸,2019,第30
2491,6,山形,2019,第30
2492,7,甲府,2019,第30
2493,8,金沢,2019,第30
2494,9,徳島,2019,第30
2495,10,岡山,2019,第30
2496,11,長崎,2019,第30
2497,12,東京Ｖ,2019,第30
2498,13,新潟,2019,第30
2499,14,愛媛,2019,第30
2500,15,山口,2019,第30
2501,16,千葉,2019,第30
2502,17,福岡,2019,第30
2503,18,町田,2019,第30
2504,19,琉球,2019,第30
2505,20,鹿児島,2019,第30
2506,21,栃木,2019,第30
2507,22,岐阜,2019,第30
2508,1,柏,2019,第31
2509,2,横浜FC,2019,第31
2510,3,水戸,2019,第31
2511,4,山形,2019,第31
2512,5,大宮,2019,第31
2513,6,京都,2019,第31
2514,7,甲府,2019,第31
2515,8,徳島,2019,第31
2516,9,岡山,2019,第31
2517,10,金沢,2019,第31
2518,11,長崎,2019,第31
2519,12,東京Ｖ,2019,第31
2520,13,新潟,2019,第31
2521,14,愛媛,2019,第31
2522,15,琉球,2019,第31
2523,16,山口,2019,第31
2524,17,町田,2019,第31
2525,18,千葉,2019,第31
2526,19,福岡,2019,第31
2527,20,鹿児島,2019,第31
2528,21,栃木,2019,第31
2529,22,岐阜,2019,第31
2530,1,柏,2019,第32
2531,2,山形,2019,第32
2532,3,横浜FC,2019,第32
2533,4,京都,2019,第32
2534,5,水戸,2019,第32
2535,6,大宮,2019,第32
2536,7,岡山,2019,第32
2537,8,甲府,2019,第32
2538,9,徳島,2019,第32
2539,10,金沢,2019,第32
2540,11,長崎,2019,第32
2541,12,東京Ｖ,2019,第32
2542,13,新潟,2019,第32
2543,14,山口,2019,第32
2544,15,愛媛,2019,第32
2545,16,琉球,2019,第32
2546,17,千葉,2019,第32
2547,18,福岡,2019,第32
2548,19,町田,2019,第32
2549,20,鹿児島,2019,第32
2550,21,栃木,2019,第32
2551,22,岐阜,2019,第32
2552,1,柏,2019,第33
2553,2,山形,2019,第33
2554,3,横浜FC,2019,第33
2555,4,水戸,2019,第33
2556,5,大宮,2019,第33
2557,6,京都,2019,第33
2558,7,岡山,2019,第33
2559,8,甲府,2019,第33
2560,9,徳島,2019,第33
2561,10,金沢,2019,第33
2562,11,長崎,2019,第33
2563,12,東京Ｖ,2019,第33
2564,13,新潟,2019,第33
2565,14,山口,2019,第33
2566,15,琉球,2019,第33
2567,16,愛媛,2019,第33
2568,17,千葉,2019,第33
2569,18,福岡,2019,第33
2570,19,町田,2019,第33
2571,20,鹿児島,2019,第33
2572,21,栃木,2019,第33
2573,22,岐阜,2019,第33
2574,1,柏,2019,第34
2575,2,大宮,2019,第34
2576,3,横浜FC,2019,第34
2577,4,山形,2019,第34
2578,5,京都,2019,第34
2579,6,水戸,2019,第34
2580,7,甲府,2019,第34
2581,8,徳島,2019,第34
2582,9,岡山,2019,第34
2583,10,金沢,2019,第34
2584,11,長崎,2019,第34
2585,12,新潟,2019,第34
2586,13,東京Ｖ,2019,第34
2587,14,山口,2019,第34
2588,15,愛媛,2019,第34
2589,16,琉球,2019,第34
2590,17,千葉,2019,第34
2591,18,福岡,2019,第34
2592,19,町田,2019,第34
2593,20,鹿児島,2019,第34
2594,21,栃木,2019,第34
2595,22,岐阜,2019,第34
2596,1,柏,2019,第35
2597,2,大宮,2019,第35
2598,3,横浜FC,2019,第35
2599,4,山形,2019,第35
2600,5,京都,2019,第35
2601,6,甲府,2019,第35
2602,7,水戸,2019,第35
2603,8,岡山,2019,第35
2604,9,徳島,2019,第35
2605,10,長崎,2019,第35
2606,11,金沢,2019,第35
2607,12,新潟,2019,第35
2608,13,東京Ｖ,2019,第35
2609,14,山口,2019,第35
2610,15,琉球,2019,第35
2611,16,愛媛,2019,第35
2612,17,千葉,2019,第35
2613,18,福岡,2019,第35
2614,19,町田,2019,第35
2615,20,鹿児島,2019,第35
2616,21,栃木,2019,第35
2617,22,岐阜,2019,第35
2618,1,柏,2019,第36
2619,2,横浜FC,2019,第36
2620,3,山形,2019,第36
2621,4,大宮,2019,第36
2622,5,水戸,2019,第36
2623,6,京都,2019,第36
2624,7,甲府,2019,第36
2625,8,徳島,2019,第36
2626,9,岡山,2019,第36
2627,10,長崎,2019,第36
2628,11,新潟,2019,第36
2629,12,金沢,2019,第36
2630,13,東京Ｖ,2019,第36
2631,14,山口,2019,第36
2632,15,琉球,2019,第36
2633,16,愛媛,2019,第36
2634,17,千葉,2019,第36
2635,18,福岡,2019,第36
2636,19,町田,2019,第36
2637,20,鹿児島,2019,第36
2638,21,栃木,2019,第36
2639,22,岐阜,2019,第36
2640,1,柏,2019,第37
2641,2,山形,2019,第37
2642,3,横浜FC,2019,第37
2643,4,大宮,2019,第37
2644,5,京都,2019,第37
2645,6,水戸,2019,第37
2646,7,徳島,2019,第37
2647,8,岡山,2019,第37
2648,9,甲府,2019,第37
2649,10,金沢,2019,第37
2650,11,長崎,2019,第37
2651,12,新潟,2019,第37
2652,13,東京Ｖ,2019,第37
2653,14,山口,2019,第37
2654,15,琉球,2019,第37
2655,16,愛媛,2019,第37
2656,17,千葉,2019,第37
2657,18,福岡,2019,第37
2658,19,町田,2019,第37
2659,20,鹿児島,2019,第37
2660,21,栃木,2019,第37
2661,22,岐阜,2019,第37
2662,1,柏,2019,第38
2663,2,山形,2019,第38
2664,3,横浜FC,2019,第38
2665,4,大宮,2019,第38
2666,5,徳島,2019,第38
2667,6,岡山,2019,第38
2668,7,京都,2019,第38
2669,8,水戸,2019,第38
2670,9,甲府,2019,第38
2671,10,金沢,2019,第38
2672,11,新潟,2019,第38
2673,12,長崎,2019,第38
2674,13,東京Ｖ,2019,第38
2675,14,山口,2019,第38
2676,15,琉球,2019,第38
2677,16,愛媛,2019,第38
2678,17,千葉,2019,第38
2679,18,福岡,2019,第38
2680,19,町田,2019,第38
2681,20,鹿児島,2019,第38
2682,21,栃木,2019,第38
2683,22,岐阜,2019,第38
2684,1,柏,2019,第39
2685,2,横浜FC,2019,第39
2686,3,大宮,2019,第39
2687,4,山形,2019,第39
2688,5,徳島,2019,第39
2689,6,水戸,2019,第39
2690,7,岡山,2019,第39
2691,8,甲府,2019,第39
2692,9,京都,2019,第39
2693,10,金沢,2019,第39
2694,11,新潟,2019,第39
2695,12,長崎,2019,第39
2696,13,東京Ｖ,2019,第39
2697,14,山口,2019,第39
2698,15,琉球,2019,第39
2699,16,愛媛,2019,第39
2700,17,千葉,2019,第39
2701,18,福岡,2019,第39
2702,19,町田,2019,第39
2703,20,鹿児島,2019,第39
2704,21,栃木,2019,第39
2705,22,岐阜,2019,第39
2706,1,柏,2019,第40
2707,2,横浜FC,2019,第40
2708,3,大宮,2019,第40
2709,4,山形,2019,第40
2710,4,水戸,2019,第40
2711,6,徳島,2019,第40
2712,7,甲府,2019,第40
2713,8,京都,2019,第40
2714,9,岡山,2019,第40
2715,10,新潟,2019,第40
2716,11,金沢,2019,第40
2717,12,長崎,2019,第40
2718,13,東京Ｖ,2019,第40
2719,14,山口,2019,第40
2720,15,琉球,2019,第40
2721,16,千葉,2019,第40
2722,17,愛媛,2019,第40
2723,18,福岡,2019,第40
2724,19,町田,2019,第40
2725,20,鹿児島,2019,第40
2726,21,栃木,2019,第40
2727,22,岐阜,2019,第40
2728,1,柏,2019,第41
2729,2,横浜FC,2019,第41
2730,3,大宮,2019,第41
2731,4,山形,2019,第41
2732,5,徳島,2019,第41
2733,6,甲府,2019,第41
2734,7,京都,2019,第41
2735,8,水戸,2019,第41
2736,9,岡山,2019,第41
2737,10,金沢,2019,第41
2738,11,新潟,2019,第41
2739,12,長崎,2019,第41
2740,13,東京Ｖ,2019,第41
2741,14,琉球,2019,第41
2742,15,山口,2019,第41
2743,16,千葉,2019,第41
2744,17,愛媛,2019,第41
2745,18,福岡,2019,第41
2746,19,町田,2019,第41
2747,20,鹿児島,2019,第41
2748,21,栃木,2019,第41
2749,22,岐阜,2019,第41
2750,1,柏,2019,第42
2751,2,横浜FC,2019,第42
2752,3,大宮,2019,第42
2753,4,徳島,2019,第42
2754,5,甲府,2019,第42
2755,6,山形,2019,第42
2756,7,水戸,2019,第42
2757,8,京都,2019,第42
2758,9,岡山,2019,第42
2759,10,新潟,2019,第42
2760,11,金沢,2019,第42
2761,12,長崎,2019,第42
2762,13,東京Ｖ,2019,第42
2763,14,琉球,2019,第42
2764,15,山口,2019,第42
2765,16,福岡,2019,第42
2766,17,千葉,2019,第42
2767,18,町田,2019,第42
2768,19,愛媛,2019,第42
2769,20,栃木,2019,第42
2770,21,鹿児島,2019,第42
2771,22,岐阜,2019,第42
